front,back,next_review_date,interval_days,notes,tags
Compare Newtonian and non-Newtonian fluids.,"Newtonian fluids have viscosity independent of shear rate (stress linearly proportional to strain rate). Non-Newtonian fluids have viscosity that changes with shear rate (e.g., shear-thinning, shear-thickening).",2024-07-27,1.0,,Fluids;Properties;CFD
What are the pros and cons of CFD?,"Pros: Cost-effective vs experiments for many scenarios, detailed insight into flow, can simulate conditions difficult/impossible to test physically, allows parametric studies. Cons: Requires expertise, computationally expensive, accuracy depends on models and assumptions (mesh, physics, numerics), requires validation.",2024-07-27,1.0,"Based on general CFD knowledge, not explicitly detailed in source text.",CFD;Analysis
What is CFD?,CFD stands for Computational Fluid Dynamics. It's a branch of fluid mechanics that uses numerical analysis and data structures to analyze and solve problems involving fluid flows.,2024-07-27,1.0,,CFD;Definition
What are the fundamental physical principles governing fluid flow?,"Conservation of Mass (Continuity), Conservation of Momentum (Newton's Second Law), and Conservation of Energy (First Law of Thermodynamics).",2024-07-27,1.0,,CFD;GoverningEquations;Physics
Which scientists are associated with the fundamental conservation principles in fluid dynamics?,"Antoine Lavoisier (Mass Conservation), Isaac Newton (Momentum Conservation), Rudolf Clausius & William Rankine (Energy Conservation).",2024-07-27,1.0,,CFD;History;Physics
Which set of equations mathematically describes fluid flow behavior derived from conservation principles?,"The Navier-Stokes equations (encompassing continuity, momentum, and often energy).",2024-07-27,1.0,,CFD;GoverningEquations;NavierStokes
Why is CFD often necessary for complex fluid problems?,"Analytical or closed-form solutions to the Navier-Stokes equations are generally impossible for complex geometries, boundary conditions, or flow regimes (like turbulence).",2025-04-17,2.5,,CFD;Analysis;NavierStokes
List some real-world application areas of CFD.,"Energy systems (turbines, combustion), vehicular transport (aerodynamics of cars, ships, aircraft), biomedical engineering (blood flow, respiratory systems), sports (equipment design), external/internal building environment (HVAC, wind loading), chemical processing.",2024-07-27,1.0,,CFD;Applications
What are the main steps in a typical CFD analysis workflow?,"1. Understanding the physics & problem definition. 2. Creating a mathematical model (governing equations, assumptions, boundary conditions). 3. Developing a numerical model (discretization method, mesh generation). 4. Solving the numerical equations (computation). 5. Post-processing and analyzing the results (visualization, data extraction, validation).",2024-07-27,1.0,,CFD;Workflow;Analysis
How are governing equations derived for CFD?,"By choosing the relevant physical principles (conservation laws: mass, momentum, energy) and applying them mathematically to a suitable model of the flow (e.g., a finite control volume or an infinitesimal fluid element).",2024-07-27,1.0,,CFD;GoverningEquations;Derivation
