front,back,next_review_date,interval_days,ease_factor,lapses,reviews,tags,notes
"What is the objective of the worked example involving a simple turbojet engine operating at M=0.8 and 10,000m altitude described in this lecture section?","To determine the specific thrust and Specific Fuel Consumption (SFC) for the engine under the specified cruise conditions, illustrating the application of thermodynamic principles and component efficiencies.",,,2.5,0,0,"turbojet,example,objective,specific_thrust,sfc","Slide 2"
"What are the main engine components typically analyzed (calculating pressures and temperatures) when performing a thermodynamic cycle analysis of a simple turbojet?","The main components are:\n1. Inlet (Intake)\n2. Compressor\n3. Turbine\n4. Nozzle\n(Analysis also implicitly includes the combustor where heat is added and pressure loss occurs).",,,2.5,0,0,"turbojet,analysis,components,thermodynamics","Slide 3"
"In the simple turbojet example (M=0.8, 10km), how was the Combustion Pressure Loss defined or specified?","It was specified as a percentage of the compressor delivery pressure: 4% of $P_{02}$.",,,2.5,0,0,"turbojet,example,parameters,combustion,pressure_loss","Slide 4"
"On a typical turbojet Temperature-Entropy (T-s) diagram, what thermodynamic process occurs between the freestream ambient condition (station 'a') and the engine inlet / compressor face (station '01' or '0a')?","This represents the intake process.\nIdeally (isentropic intake ram compression), entropy remains constant while temperature and pressure rise from static ($T_a, P_a$) to stagnation ($T_{01}, P_{01}$) due to deceleration of the incoming air.\nReal intakes have some inefficiency (entropy increase).",,,2.5,0,0,"turbojet,thermodynamics,ts_diagram,intake,process","Slide 5"
"On a typical turbojet Temperature-Entropy (T-s) diagram, what does the process from the compressor inlet (station '01') to the compressor outlet (station '02') represent?","This represents the compression process.\nStagnation temperature ($T_0$) and stagnation pressure ($P_0$) increase significantly.\nThe ideal process would be vertical (isentropic), but a real compressor has inefficiencies, resulting in an entropy increase ($s_2 > s_1$).",,,2.5,0,0,"turbojet,thermodynamics,ts_diagram,compressor,process","Slide 5"
"On a typical turbojet Temperature-Entropy (T-s) diagram, how is the process through the combustion chamber (from compressor outlet '02' to turbine inlet '03') typically represented?","Heat addition ($Q_{in}$) occurs, significantly raising the stagnation temperature ($T_{03} >> T_{02}$). \nIdeally, this happens at constant stagnation pressure ($P_{03}=P_{02}$), but real combustors have a pressure loss ($\Delta P_b$), so $P_{03} < P_{02}$. This is shown as a slight pressure drop on the constant high-temperature line representing $T_{03}$.",,,2.5,0,0,"turbojet,thermodynamics,ts_diagram,combustor,process,pressure_loss","Slide 5, Slide 16"
"On a typical turbojet Temperature-Entropy (T-s) diagram, what does the process from the turbine inlet (station '03') to the turbine outlet (station '04') represent?","This represents the expansion process through the turbine.\nHot gas expands, doing work to drive the compressor. Stagnation temperature ($T_0$) and stagnation pressure ($P_0$) decrease.\nIdeal expansion is isentropic (vertical drop), but real turbines have inefficiencies, causing an entropy increase ($s_4 > s_3$).",,,2.5,0,0,"turbojet,thermodynamics,ts_diagram,turbine,process","Slide 5"
"On a typical turbojet Temperature-Entropy (T-s) diagram, what does the process from the turbine outlet (station '04') to the nozzle exit (station '5') represent?","This represents the expansion process through the propelling nozzle.\nThe remaining thermal energy and pressure are converted into kinetic energy (high exit velocity $C_5$). Stagnation temperature ($T_0$) ideally remains constant ($T_{05} \approx T_{04}$ if no heat loss), while stagnation pressure drops ($P_{05} < P_{04}$) as static pressure decreases towards ambient ($P_a$) or critical pressure ($P_c$). Some entropy increase occurs due to nozzle inefficiency.",,,2.5,0,0,"turbojet,thermodynamics,ts_diagram,nozzle,process","Slide 5"
"According to standard atmosphere data (used in the 10km altitude turbojet example), what are the approximate ambient pressure ($P_a$) and temperature ($T_a$) at 10,000m altitude?","Ambient Pressure ($P_a$) $\approx$ 26.50 kPa = 0.265 Bar\nAmbient Temperature ($T_a$) $\approx$ 223.3 K",,,2.5,0,0,"isa,ambient_conditions,altitude,parameters","Slide 6"
"What is the typical value for the ratio of specific heats ($\gamma$) for air at low temperatures (e.g., around 223K)?","$\gamma \approx 1.4$",,,2.5,0,0,"air_properties,specific_heat_ratio,gamma","Slide 6"
"What is the value of the specific gas constant ($R$) for air?","$R = 287 J/kgK$",,,2.5,0,0,"air_properties,gas_constant","Slide 6"
"What is the formula relating Mach number ($M$), flight speed ($C_a$), ratio of specific heats ($\gamma$), gas constant ($R$), and static temperature ($T_a$)?","$M = \frac{C_a}{\sqrt{\gamma R T_a}}$ (since speed of sound $a = \sqrt{\gamma R T_a}$)",,,2.5,0,0,"definitions,mach_number,formulas,speed_of_sound","Slide 6"
"What is the formula relating stagnation temperature ($T_{01}$ or $T_{0a}$), static temperature ($T_a$), flight speed ($C_a$), and specific heat at constant pressure ($c_p$)?","$T_{01} = T_{0a} = T_a + \frac{C_a^2}{2 c_p}$\nThe term $C_a^2 / (2 c_p)$ represents the temperature rise due to converting kinetic energy to thermal energy (dynamic temperature).",,,2.5,0,0,"thermodynamics,stagnation_temperature,dynamic_temperature,formulas","Slide 7"
