front                                                                     , back                                                                                                                                                                                                                                                             , next_review_date, interval_days, notes, tags
Main drivers for global energy transition?                                , "Mitigate climate change (Paris Agreement), enhance energy security (geopolitical volatility), foster sustainable economic development."                                                                                                                         ,                 ,           1.0,      , 
Key energy targets highlighted at COP28?                                  , Triple global renewable power capacity and double energy efficiency improvements by 2030.                                                                                                                                                                        ,                 ,           1.0,      , 
Main technology areas covered (RB codes)?                                 , "RB-1 (Hydro/Tidal/Wave), RB-2 (Geothermal/HP), RB-3 (Biomass), RB-4 (Storage/Systems), RB-6/7 (Hydrogen/CCUS)."                                                                                                                                                 ,                 ,           1.0,      , 
Fundamental principle of conventional hydropower?                         , "Converting gravitational potential energy of water at elevation to kinetic energy, driving turbines to generate electricity."                                                                                                                                   ,                 ,           1.0,      , 
Two main configurations of conventional hydropower?                       , 1) Dams/Reservoirs (incl. Pumped Storage - PSH) for storage/dispatchable power; 2) Run-of-river for minimal flow disruption.                                                                                                                                     ,                 ,           1.0,      , 
What is Pumped-Storage Hydropower (PSH)?                                  , "Uses electricity (low demand) to pump water to upper reservoir, releases water (high demand) through turbines to generate electricity."                                                                                                                         ,                 ,           1.0,      , 
How does tidal range technology work?                                     , "Captures potential energy from the height difference (head) between high and low tides, often using barrages/lagoons in estuaries."                                                                                                                             ,                 ,           1.0,      , 
How does tidal stream technology work?                                    , Captures kinetic energy from moving tidal currents using underwater turbines.                                                                                                                                                                                    ,                 ,           1.0,      , 
Key advantage of tidal energy over solar/wind?                            , "High predictability of cycles (daily, weekly, annual), largely unaffected by weather."                                                                                                                                                                          ,                 ,           1.0,      , 
Where does wave energy primarily originate?                               , Transfer of wind energy across the water surface.                                                                                                                                                                                                                ,                 ,           1.0,      , 
What three water particle motions do WECs harness?                        , "Horizontal surge (back/forth), horizontal sway (side-to-side), vertical heave (up/down)."                                                                                                                                                                       ,                 ,           1.0,      , 
Two main classes of hydropower turbines?                                  , "Reaction (e.g., Francis, Kaplan - operate submerged, use pressure & velocity) and Impulse (e.g., Pelton - use kinetic energy of water jet in air)."                                                                                                             ,                 ,           1.0,      , 
What primarily determines the choice of hydro turbine type?               , Available head (water height) and flow rate.                                                                                                                                                                                                                     ,                 ,           1.0,      , 
Describe the Francis turbine.                                             , "Most widely used hydro turbine; mixed-flow (radial in, axial out); suitable for wide range of medium heads/flows; efficient at part load; can function as pump (PSH)."                                                                                          ,                 ,           1.0,      , 
Describe the Kaplan turbine.                                              , "Axial-flow propeller type hydro turbine; adjustable blades/gates for efficiency across variable flows; ideal for low heads (run-of-river, tidal)."                                                                                                              ,                 ,           1.0,      , 
Describe the Pelton turbine.                                              , Impulse type hydro turbine; uses high-velocity water jets striking buckets; best suited for very high heads and relatively low flows.                                                                                                                            ,                 ,           1.0,      , 
Name some emerging hydropower technologies.                               , "Variable Speed Turbines, Digital Twins, Fish-Friendly Turbines, Modularity/Advanced Manufacturing."                                                                                                                                                             ,                 ,           1.0,      , 
What is a 'digital twin' in hydropower?                                   , "A virtual replica using real-time data, AI, simulations to monitor health, predict failures, optimize maintenance/operations, and extend asset life."                                                                                                           ,                 ,           1.0,      , 
Goal of fish-friendly turbines?                                           , "Reduce fish mortality during turbine passage using modified designs (blunter edges, fewer gaps, slower rotation, alternative types like Archimedes screws)."                                                                                                    ,                 ,           1.0,      , 
What is a tidal barrage?                                                  , "Large dam-like structure across an estuary or bay containing turbines to generate power from tidal flows between basin and sea (e.g., La Rance, Sihwa Lake)."                                                                                                   ,                 ,           1.0,      , 
Name types of tidal stream turbines.                                      , "Horizontal Axis Turbines (like underwater wind turbines), Vertical Axis Turbines, Ducted/Enclosed Turbines, Oscillating Hydrofoils, Tidal Kites (e.g., Minesto)."                                                                                               ,                 ,           1.0,      , 
What is the current focus for tidal stream deployment?                    , "Moving from single device demonstrations to deploying arrays of multiple turbines to achieve commercial scale (e.g., MeyGen)."                                                                                                                                  ,                 ,           1.0,      , 
Name main types of Wave Energy Converters (WECs).                         , "Oscillating Water Column (OWC), Oscillating Body Converters (Point Absorbers, Attenuators, OWSC), Overtopping/Terminator Devices, Submerged Pressure Differential."                                                                                             ,                 ,           1.0,      , 
Describe an Oscillating Water Column (OWC) WEC.                           , Semi-submerged chamber traps air; wave motion forces air through a turbine (often Wells turbine). Can be fixed or floating.                                                                                                                                      ,                 ,           1.0,      , 
Describe a Point Absorber WEC.                                            , "Buoy-like structure, absorbs energy from relative motion (often heave) between float and base. Most common WEC type. (e.g., CorPower, OPT PowerBuoy)."                                                                                                          ,                 ,           1.0,      , 
Describe an Oscillating Wave Surge Converter (OWSC) WEC.                  , "Typically bottom-mounted flap/paddle pivoting back and forth from wave surge (horizontal motion), common nearshore (e.g., WaveRoller)."                                                                                                                         ,                 ,           1.0,      , 
Key environmental impacts of large hydropower dams?                       , "Ecosystem disruption (fish migration blockage, habitat inundation), altered flow regimes/sediment transport downstream, potential GHG emissions (CH4, CO2) from reservoirs."                                                                                    ,                 ,           1.0,      , 
Major socioeconomic impacts of large hydro dams?                          , "Community displacement/resettlement challenges (loss of homes, lands, livelihoods, culture), potential negative local economic impacts, boomtown effects during construction."                                                                                  ,                 ,           1.0,      , 
Key environmental concerns for tidal stream turbines?                     , "Risk of marine animal collision with blades, underwater noise disruption, EMF effects, habitat alteration, entanglement risk."                                                                                                                                  ,                 ,           1.0,      , 
Key environmental concerns for Wave Energy Converters (WECs)?             , "Similar to tidal stream: collision risk, underwater noise, EMF, habitat alteration, entanglement, potential changes to coastal processes (wave shadowing)."                                                                                                     ,                 ,           1.0,      , 
Main socioeconomic challenge for tidal/wave energy deployment?            , "Spatial conflicts with existing marine uses (fishing, shipping, recreation), requiring careful marine spatial planning. Visual impact varies by device type."                                                                                                   ,                 ,           1.0,      , 
Status of global hydropower potential?                                    , "Largest renewable source currently, but growth slowing; significant untapped technical potential exists but faces constraints (sites, environment, climate change/droughts, aging fleet)."                                                                      ,                 ,           1.0,      , 
LCOE of established hydropower?                                           , "Highly cost-competitive, especially for existing/refurbished plants. Large hydro LCOE (2012): USD 0.02–0.19/kWh; Upgrades: USD 0.01–0.05/kWh. Weighted average fell 7% in 2023."                                                                                ,                 ,           1.0,      , 
